Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,8,91,0,25.2,147.60001,7.11418320988677,11.8570753692653,1111.6,1.1934,.0054000001,.00080000004,1,0,17.85164446464615
0,10,91,0,0,1.6666666,0,,,0,.0063333334,0,1,0,17.85164446464615
0,12,91,0,13.8,66.800003,2.37095847101158,5.731126138700008,568,.67859995,1.3458,.056599997,1,0,17.85164446464615
0,13,91,0,18.8,124.4,2.975591605868146,9.264920623637682,456.39999,.49520001,2.3696001,.1094,1,0,17.85164446464615
1,15,91,0,25,171,7.951355533627252,13.27215662478197,1227.8,1.2781999,.30020002,.032000002,1,0,17.85164446464615
0,17,91,0,5.6,16.200001,.3348383481361717,1.683906420867115,533.40002,.5334,.0048000002,.0016000001,1,0,17.85164446464615
0,18,91,0,0,2,.0094430681572636,.1645189987279214,,0,0,0,1,0,17.85164446464615
0,20,91,0,1,1,0,,32.200001,.041200001,.0054000001,0,1,0,17.85164446464615
0,21,91,0,14.4,77.800003,5.844717634245184,5.537404093580927,143.8,.14380001,.3274,.024600001,1,0,17.85164446464615
0,22,91,0,0,,.1623731020695609,.3154653380851393,603,.60720003,.001,.0012000001,1,0,17.85164446464615
0,23,91,0,5,8.1999998,.1529700154295723,1.224233605718793,291.39999,.3592,.0055999998,.001,1,0,17.85164446464615
0,25,91,1,18,97.800003,3.357066390578025,5.770676706570853,2516,2.5502,.3046,.021,1,1,17.85164446464615
0,27,91,0,0,,.0094430681572636,.055501796000003,0,.001,0,0,1,0,17.85164446464615
0,29,91,0,0,,0,,0,0,0,0,1,0,17.85164446464615
1,31,91,1,26,295.39999,20.17968396044401,19.86448788420582,2106,2.2521999,1.2029999,.1188,1,1,17.85164446464615
0,32,91,1,26.2,58.799999,.6657679141570807,6.601712475545288,990,1.1078,.3978,.058200002,1,1,17.85164446464615
0,36,91,0,2.6,5,.2402153857625395,.3413983639735752,313.39999,.3238,.0020000001,.00040000002,1,0,17.85164446464615
0,37,91,0,24.8,135.8,5.716638126958202,11.5494186038615,583,.60579997,4.619,.27160001,1,0,17.85164446464615
0,38,91,0,5,15.4,.1919886930326176,.8596575724787877,385.39999,.3854,.025,.0024000001,1,0,17.85164446464615
0,39,91,0,7.8,15.8,.1200883914794986,1.609607005451401,364.60001,.3646,.057,.0048000002,1,0,17.85164446464615
0,41,91,0,0,1.3333334,.1171608736949726,.0937014421980826,,0,0,0,1,0,17.85164446464615
0,42,91,0,4.4,11.2,.0035238419046796,1.444863518734263,0,0,.001,.00060000003,1,0,17.85164446464615
0,43,91,0,0,,.1661871936209272,1.863189011312631,,0,0,0,1,0,17.85164446464615
0,46,91,0,0,,0,,7.8000002,.012800001,0,0,1,0,17.85164446464615
0,47,91,0,0,2,0,,,0,0,0,1,0,17.85164446464615
0,48,91,0,4.6,17,.5034037174733964,1.273210254676191,461.60001,.48820001,.0034,.0018,1,0,17.85164446464615
0,49,91,0,4,10.2,.0198913034357332,.9733477756862294,494.20001,.60119998,0,0,1,0,17.85164446464615
0,50,91,0,2,12,0,.2579186202134353,,0,0,0,1,0,17.85164446464615
0,52,91,0,0,,0,,72,.071999997,0,0,1,0,17.85164446464615
0,53,91,0,0,,.0842072197631741,.1713649216657463,,0,.011399999,.0012000001,1,0,17.85164446464615
0,55,91,0,6,17.333334,0,,1647.6,1.6475999,0,0,1,0,17.85164446464615
0,56,91,0,10.2,34,.545067193932179,2.30463809767991,.2,.00060000003,.078400001,.0048000002,1,0,17.85164446464615
0,3,92,0,0,,.0148104236822394,.0573856733901746,92.199997,.092199996,.00040000002,.00080000004,1,0,15.36071296852974
0,5,92,0,5,10.4,.0927879265969563,1.038368297622984,16.4,.5194,.0014,.0012000001,1,0,15.36071296852974
0,6,92,0,8.4,41,.4312315577951248,3.522273808273351,639.59998,.63959998,0,.00020000001,1,0,15.36071296852974
0,8,92,0,8.6,33.599998,.8019999332496968,3.690717449167284,542,.542,.0034,.00020000001,1,0,15.36071296852974
0,10,92,0,7.2,12.8,.376358075973909,1.026234997533934,418.79999,.4188,.0074,.00060000003,1,0,15.36071296852974
0,11,92,0,5,5.6666665,0,,,0,0,0,1,0,15.36071296852974
0,12,92,0,3,4,.0006676834847127,.2813316554734953,13.2,.038799997,.49579999,.0328,1,0,15.36071296852974
0,13,92,0,16.2,99,1.713904759281773,7.626868868143334,448.39999,.53299999,2.0888,.119,1,0,15.36071296852974
0,15,92,0,14,98.599998,2.889394201291863,7.708460711161696,947.59998,.95540005,.088199995,.0112,1,0,15.36071296852974
0,16,92,0,1.4,3.2,.0100493041135762,.7185361130269531,0,.0308,.0076000001,.0012000001,1,0,15.36071296852974
1,17,92,0,12.4,49.599998,1.669332687867646,3.848828608820821,1663.6,1.6636,.0052,.0026,1,0,15.36071296852974
0,18,92,0,5,1,.001081081081,.700296999007787,11,.1628,0,0,1,0,15.36071296852974
0,20,92,0,2,4.5999999,.0264123329132846,.544358776883997,0,.066800006,.0035999999,.00020000001,1,0,15.36071296852974
0,22,92,0,10.4,16.799999,.1934616584420313,2.557837558846368,62.799999,1.217,.0014,.0012000001,1,0,15.36071296852974
0,23,92,0,3,5.8000002,.0224869053755842,.6658891856952281,0,.14639999,.00020000001,.00020000001,1,0,15.36071296852974
0,24,92,0,2,6.5999999,.1121120880069968,.6287403489568671,186.39999,.29720002,.0046000001,.00040000002,1,0,15.36071296852974
0,25,92,0,18,118.8,3.8502986644555,7.943087454104219,3047.2,3.0808001,.3626,.028000001,1,0,15.36071296852974
0,26,92,0,3.2,18.4,0,1.631269804649327,522.79999,.5862,0,0,1,0,15.36071296852974
0,27,92,0,4.8,1,0,.5011379013051498,10.4,.1104,0,0,1,0,15.36071296852974
0,29,92,0,5.5,4.5,.002869574589801,.8640265341300201,3.8,.152,0,0,1,0,15.36071296852974
0,31,92,0,26.2,285.79999,14.47844487118994,17.26105907483449,1683.4,1.7162,.61519998,.060400002,1,0,15.36071296852974
0,32,92,0,31.4,96.599998,2.087257625230125,6.900400043503015,1276.6,1.898,.2534,.037599999,1,0,15.36071296852974
0,33,92,0,0,,0,.0323181120730596,0,.091800004,0,0,1,0,15.36071296852974
0,34,92,0,4,2.8,.0099417823890334,1.031432485386872,7.4000001,.257,.00040000002,.001,1,0,15.36071296852974
0,36,92,0,3.6,3.8,.0287912087827217,.4534202550096844,3.5999999,.1136,.00080000004,.00040000002,1,0,15.36071296852974
0,37,92,0,19.6,89.199997,2.721491639470061,8.748331056519991,374.39999,.44320002,3.1600001,.13,1,0,15.36071296852974
0,38,92,0,.8,3.2,.0324890005974887,.2798822168507258,,0,.0146,.001,1,0,15.36071296852974
0,39,92,0,7,23.799999,.6886564025028342,1.522311626856657,10.2,.057599999,.167,.0174,1,0,15.36071296852974
0,40,92,0,17,85.599998,1.446066893746568,7.312209027373856,1036.4,1.0364001,.0096000005,.00040000002,1,0,15.36071296852974
0,41,92,0,0,,0,,0,.14399999,0,0,1,0,15.36071296852974
0,42,92,0,1,1,0,,,0,0,0,1,0,15.36071296852974
0,46,92,0,19.2,36.599998,.6790552299686756,4.976171106315713,127.8,1.5758001,0,0,1,0,15.36071296852974
0,47,92,0,2,2.3333333,0,,0,.26460001,.00020000001,0,1,0,15.36071296852974
0,48,92,0,7.4,25.200001,.1458931131088912,1.34033526631589,27.4,.0274,.0040000002,.00060000003,1,0,15.36071296852974
0,49,92,0,3,11.2,.0995641942283449,1.220072936038992,18.4,.3502,.00020000001,0,1,0,15.36071296852974
0,50,92,0,0,,.0225197505146803,.0085906984884549,,0,0,0,1,0,15.36071296852974
0,52,92,0,0,,0,.0035876008427808,,0,0,0,1,0,15.36071296852974
0,56,92,0,16,62.599998,.9770561188054462,6.389710272307422,2213.8,2.3592,.089199997,.011600001,1,0,15.36071296852974
0,3,93,0,0,,0,,194.8,.1948,.00020000001,.00020000001,1,0,21.15050009494698
0,4,93,0,2,2,.0152322670128641,.3039740158011943,7.4000001,.066599995,0,0,1,0,21.15050009494698
0,5,93,0,6,7.8000002,.0121014396158324,1.490197977716241,291.79999,.6146,.00080000004,.0022,1,0,21.15050009494698
0,6,93,0,25.6,79.599998,1.190691523286233,6.477213753618368,906.40002,.90640002,0,0,1,0,21.15050009494698
0,8,93,0,18,121.6,4.199976335613004,7.54948880418199,1100.6,1.1896,.0035999999,.0016000001,1,0,21.15050009494698
0,10,93,0,2.2,4,.0226741948599087,.4658145837135829,289.20001,.28920001,.012399999,.0014,1,0,21.15050009494698
0,12,93,1,12,67.800003,1.393480837097604,4.752036735137811,392.20001,.39220002,1.4734,.1088,1,1,21.15050009494698
0,13,93,0,23.6,129.39999,3.870239625024689,7.890084843426099,550,.56620002,1.5378001,.1166,1,0,21.15050009494698
0,14,93,0,0,0,0,.040240276543434,,0,0,.00020000001,1,0,21.15050009494698
1,15,93,0,26.6,242.2,11.13742240230924,12.75752782058786,1341.4,1.358,.075800002,.013,1,0,21.15050009494698
0,16,93,0,0,,0,,0,.1618,.046,.0038000001,1,0,21.15050009494698
0,17,93,0,13.6,46.599998,1.005894538696423,4.047360927648931,37.200001,.366,.0049999999,.00080000004,1,0,21.15050009494698
0,18,93,0,3,1,0,.3661108053040813,32.599998,.071999997,.00020000001,.00040000002,1,0,21.15050009494698
0,19,93,0,17,87.199997,4.29405451276496,6.497174090822024,564.79999,.56479996,.043599997,.0083999997,1,0,21.15050009494698
0,20,93,0,6.8,16.6,.290796509966353,1.578899068658044,680.59998,.85440004,.0032000002,.00020000001,1,0,21.15050009494698
0,22,93,0,8,21.4,.2375962196852207,2.197289622353209,724.59998,1.145,.00080000004,.0022,1,0,21.15050009494698
0,23,93,0,10.4,50.200001,2.053418896061729,2.3314025031217,444,.8118,.0018,.0020000001,1,0,21.15050009494698
0,25,93,1,22.8,141.60001,4.048972510218455,9.637492330099198,2514.8,2.6359999,.12899999,.016000001,1,1,21.15050009494698
