Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,33,58,141,0,0,,0,,0,.1106,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,33,58,141,0,0,,.001929656607405,.0484332784880842,83.400002,.092599995,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,34,58,141,0,1,4.1999998,.0024175824168698,.475804531067842,0,.049599998,.00020000001,.00040000002,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,34,58,141,0,1,3.8,.0064997598305575,.4501834715847452,15.6,.034400001,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,36,58,141,0,3.6,4.5999999,.0170258652168392,.686545560402117,147,.1802,.0012000001,.00040000002,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,36,58,141,0,4.8,4.5999999,.0527524032774544,.9342252296700259,71.800003,.095399998,.0027999999,.0014,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,37,58,141,0,17,76.400002,2.630469182427098,6.1005528196982,194.8,.20819999,4.0469999,.1622,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,37,58,141,0,16,86,4.044938299389456,3.519155410111701,161.39999,.186,5.1550002,.17539999,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,38,58,141,0,1,1.5,.0034737154732617,.0591575886835457,,0,.0054000001,.00020000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,38,58,141,0,0,,.0365108967225118,.3768444410726735,62,.061999999,.022399999,.00060000003,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,39,58,141,0,7.2,17.799999,.5595336061411288,1.435074334067193,539.40002,.53940004,.1192,.0074,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,39,58,141,0,5.8,16.4,.2814207877168219,1.36018003068988,430.20001,.43020001,.1778,.0074,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,41,58,141,0,0,,0,.0407276507220602,0,.1222,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,41,58,141,0,0,,0,.1408895690632481,0,.0154,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,42,58,141,0,3,1.6,.0056479806084014,.025811669593061,,0,.0018,.00040000002,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,42,58,141,0,2.4,2,0,.2945676568405896,,0,.0068000001,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,43,58,141,0,0,,0,.1704288938635561,,0,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,44,58,141,0,3.8,8.6000004,.0086522126515154,.9967192521453168,73,.1206,.0020000001,.0016000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,44,58,141,0,5.8,10.6,.0998697438389239,1.079991685272186,144.60001,.192,.0060000001,.0026,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,47,58,141,0,0,,0,,30.75,.030750001,.001,.00075000001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,48,58,141,0,12,18.6,.3220398392958643,1.698279534997948,573,.6534,.0144,.001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,48,58,141,0,9.800000000000001,17.200001,.1076242356081335,.9372279267451588,320,.4136,.023,.0016000001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,49,58,141,0,3,6.1999998,.1037282649616276,.7574518888948938,5.8000002,.26860002,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,49,58,141,0,4,14.8,.4783555432081269,1.352762875159886,193.8,.38299999,.00040000002,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,50,58,141,0,0,,0,.2846258569258371,9,.0089999996,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,51,58,141,0,0,,0,,113.33334,.11333334,.020333335,.001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
