Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,42,75,0,22.4,41.200001,.7058191019218908,5.310328740721335,2207.6001,2.2076001,.00080000004,0,1,20.35389547944164,0
0,42,75,0,19.2,49.599998,1.143285791495579,5.512209557497171,1448,1.448,.0018,.00060000003,2,31.01979301262196,0
0,43,75,0,1,0,0,,,0,0,0,2,31.01979301262196,0
0,44,75,0,4,4.1999998,.003331043954743,.8950832526832131,108.8,.1952,.0024000001,.0022,1,20.35389547944164,0
0,44,75,0,2.2,.80000001,.0009203321570946,.3483430367656412,21,.0328,.0096000005,.0032000002,2,31.01979301262196,0
0,45,75,0,.5,0,.0011160714280829,.0156249999931606,,0,.0026666666,.0020000001,1,20.35389547944164,0
0,46,75,0,5.5,12,.0018601190468048,2.07181962165863,246.8,.90779996,0,0,1,20.35389547944164,0
0,46,75,0,6.2,19.6,.2002657699076534,2.140491319569543,158.60001,.68699998,0,0,2,31.01979301262196,0
0,48,75,0,5.6,14.6,.1982677147582904,1.726648443953899,1401.4,1.4098001,.0034,.001,1,20.35389547944164,0
0,48,75,0,4.8,10.8,.2403953097790394,1.58684539534674,768.40002,.76840001,.014,.0041999999,2,31.01979301262196,0
0,49,75,0,3,6.5999999,.0237019540089708,1.066955530073512,11.6,.214,0,0,1,20.35389547944164,0
0,49,75,0,3.2,5.5999999,.1225619047126511,1.062504337248147,102.6,.132,.0034,0,2,31.01979301262196,0
0,50,75,0,0,,0,.0456929078694265,0,.0026,0,0,1,20.35389547944164,0
0,50,75,0,0,,0,,8,.010600001,0,0,2,31.01979301262196,0
0,52,75,0,5.8,42.599998,1.78084023191323,1.875146148423133,167,.167,0,0,1,20.35389547944164,0
0,52,75,0,8,47,1.690148210852334,2.813855788800574,113.6,.1136,0,0,2,31.01979301262196,0
0,55,75,0,0,,0,,211.60001,.21160001,0,0,1,20.35389547944164,0
0,55,75,0,0,,0,,470.39999,.47040001,0,0,2,31.01979301262196,0
0,56,75,0,17.4,75.599998,.937221190674706,7.709876093060275,2310.6001,2.3106,.0396,.011399999,1,20.35389547944164,0
0,56,75,0,19.6,78,1.421492708730618,8.303252612594951,1764.6,1.7645999,.19139999,.026799999,2,31.01979301262196,0
0,3,82,0,1,8,0,.1760758128587072,1.2,.0012000001,.00060000003,.00020000001,1,36.22687162008341,0
0,3,82,0,0,9.6000004,.1254201130390268,.7881820672676488,,0,.00080000004,0,2,68.62528182287315,0
0,5,82,0,4.6,11,.0693216906151366,1.385357370164644,316.60001,.57440001,.0018,.001,1,36.22687162008341,0
0,5,82,0,7,16.4,.0009174522389693,.9260347989717277,143,.5194,.0074,.0012000001,2,68.62528182287315,0
0,6,82,0,18.8,94.400002,.7908403258091857,8.60712450159509,1390.6,1.3922,.00020000001,0,1,36.22687162008341,0
0,6,82,0,17.8,93.400002,1.220906208582851,7.807290430921942,1067.8,1.0678,0,0,2,68.62528182287315,0
0,7,82,0,0,,.0149442190044781,.8426050452853157,,0,.0018,.001,1,36.22687162008341,0
0,7,82,0,0,,.0091336108206625,.1672306993254468,,0,.0074,.0012000001,2,68.62528182287315,0
0,8,82,0,17.2,190,11.03593431395126,18.82082504232516,1044.4,1.1392,.0066,.0012000001,1,36.22687162008341,0
